name,value,label
CTPRGB21XXX,CTPR,Citibank International Plc
CITIGB2LCOM,CITI,Commodities
CITIGB2PABA,CITI,Citi Outsourcing Aba
CITIGB2PBEA,CITI,Ias-sg Middle Office-cs
CITIGB2PCAM,CITI,Ias-sg Middle Office-cs
CITIGB2PESM,CITI,Citi Outsourcing Esm
CITIGB2PMAK,CITI,Citibank N.A.
CITIGB2PMCA,CITI,Citi Outsourcing Msk
CITIGB2PQIA,CITI,Ias-sg Middle Office-qbe
CITIGB2PTEC,CITI,Citi Investec
CTCBGB21XXX,CTCB,Chinatrust Commercial Bank
CIWMGB2LXXX,CIWM,Cibc World Markets Plc
CIBBGB2LXXX,CIBB,Cimb Bank Berhad
CITIGB2PAAM,CITI,Gts Edinburgh
CITIGB2PAGF,CITI,Citi Middle Office As Agent To Agf - Non Us
CITIGB2PAVI,CITI,Ias-Sg Middle Office - Ai
CITIGB2PCAT,CITI,Gts Sfs Operations
CITIGB2PIKA,CITI,Outsourcing Ikano
CITIGB2PINV,CITI,Outsourcing Invest Ad
CITIGB2POPR,CITI,Ias-Sg Middle Office - Oprah
CITIGB2PCGM,CITI,Global Market
CITIGB2PDFA,CITI,Gts London
CITIGB2PPIO,CITI,Gts Outsourcing Operations
CITIGB2PSLI,CITI,Citibank A.S.
CITIGB2PTMG,CITI,Transition Management Group
CITIGB2LBLK,CITI,Sepa Bulk Debits
CITIGB2LCB2,CITI,Citi Clients - Limited Use Only
CITIGB2LCLS,CITI,Citibank N.A
CITIGB2LEFX,CITI,Citibank London Emfx Confirmations
CITIGB2LEIU,CITI,Citibank Central European Investigations Unit London
CITIGB2LGAT,CITI,Citibank N.A
CITIGB2LMC1,CITI,Citibank London Mcg Client 1
CITIGB2LMC2,CITI,Citibank London Mcg Client 2
CITIGB2LMC3,CITI,Citibank London Mcg Client 3
CITIGB2LPBG,CITI,Pbg London
CITIGB2LPMT,CITI,Dos Visa Collection Messages For Reconciliation
CITIGB2LSDD,CITI,Sepa Dd
CITIGB2LSWP,CITI,Confirmation Management Unit
CITIGB2LTAS,CITI,Citigroup Trade Automation Services
CITIGB2LXXX,CITI,Citibank N.A
PCBCGB2LXXX,PCBC,China Construction Bank (London) Limited
BARLGB2LXXX,BARL,Cater Allen International Limited
BARLGB21001,BARL,Reut
BARLGB21002,BARL,Bloom
CRDIGB21XXX,CRDI,Consolidated Credits Bank Ltd
NECEGB21XXX,NECE,Cit Bank Limited
CECAGB2XXXX,CECA,Confederacion Espanola De Cajas De Ahorros
CTBAGB2LXXX,CTBA,Commonwealth Bank Of Australia
COBAGB2IINV,COBA,Investment Banking
COBAGB2IPRI,COBA,Investment Banking
COBAGB2XXXX,COBA,Commerzbank Ag
COBAGB2XDKL,COBA,Commerzbank Ag
COBAGB2XRIB,COBA,Commerzbank Ag
CSTEGB2LXXX,CSTE,Collins Stewart Europe Ltd
CODUGB2LXXX,CODU,Cofunds Limited
CODUGB21TBL,CODU,Cofunds Limited
CODUGB21TCP,CODU,Cofunds Limited
CODUGB21TLI,CODU,Cofunds Limited
CODUGB21TST,CODU,Cofunds Limited
CODUGB21TUA,CODU,Cofunds Limited
CODUGB22XXX,CODU,Cofunds Limited
CBRLGB2LXXX,CBRL,Close Brothers Limited
CBRLGB2LTSY,CBRL,Close Brothers Treasury Dept
CLYDGB2SXXX,CLYD,Covers All Uk Offices
CLYDGBCHXXX,CLYD,Clydesdale Bank Plc
CLYDGB21000,CLYD,Clydgb21000
CLYDGB21003,CLYD,Reading Banking Centre
CLYDGB21004,CLYD,Regional Banking Centre
CLYDGB21009,CLYD,Regional Banking Centre
CLYDGB21013,CLYD,London West End Ifs
CLYDGB21015,CLYD,Woodside
CLYDGB21019,CLYD,Head Office Support
CLYDGB21022,CLYD,Guildford Ifs
CLYDGB21025,CLYD,Clydgb21025
CLYDGB21027,CLYD,Milton Keynes Ifs
CLYDGB21028,CLYD,Chelmsford Ifs
CLYDGB21029,CLYD,Tunbridge Wells Ifs
CLYDGB2102S,CLYD,Pittenweem
CLYDGB21033,CLYD,Gatwick Ifs
CLYDGB21034,CLYD,"Fleet Place, Executive Banking"
CLYDGB21060,CLYD,Clydgb21060
CLYDGB21081,CLYD,Clydesdale Gold 99
CLYDGB21082,CLYD,Northern Gold 99
CPBKGB22OFS,CPBK,Overseas Financial Services
CPBKGB22REP,CPBK,Chaps Control Repair And Return
CPBKGB22TGT,CPBK,Target 2
CPBKGB22XXX,CPBK,Co-Operative Bank Plc.
CPBKGB21ABE,CPBK,Aberdare
CPBKGB21ACU,CPBK,1st Alliance Credit Union
CPBKGB21ASH,CPBK,Ashton-under-lyne
CPBKGB21AUD,CPBK,"Audit Control, Manchester"
CPBKGB21BAN,CPBK,"Bankline, Manchester"
CPBKGB21BAR,CPBK,Barnsley
CPBKGB21BAS,CPBK,Basingstoke
CPBKGB21BBB,CPBK,"Post Office Counters, Chesterfield"
CPBKGB21BBC,CPBK,Birmingham Business Centre
CPBKGB21BBR,CPBK,Bristol Broadmead
CPBKGB21BCL,CPBK,Britannia Clearing
CPBKGB21BCU,CPBK,Bristol Credit Union
CPBKGB21BED,CPBK,Bedford
CPBKGB21BEL,CPBK,Co-Operative Bank Plc.
CPBKGB21BIR,CPBK,Birmingham
CPBKGB21BLA,CPBK,"Blackwood, Gwent"
SBILGB2LIWA,SBIL,Dogs Trades From Iowa
SBILGB2LXXX,SBIL,Citigroup Global Markets Limited
SBILGB2LIPB,SBIL,International Prime Brokerage
SBILGB2LMLV,SBIL,Citigroup Global Markets Limited
DEFLGB2BXXX,DEFL,Daiwa Capital Markets Europe Limited
DEFLGB22XXX,DEFL,Daiwa Capital Markets Europe Limited
CSFBGB2LXXX,CSFB,Credit Suisse Securities (Europe) Limited
CSFBGB2LPMC,CSFB,Precious Metals
DEFLGB2LGCS,DEFL,Custody Department
DEFLGB2LXXX,DEFL,Daiwa Securities Trust And Banking (Europe) Plc
CSFPGB2LPMC,CSFP,Precious Metals
CSFPGB2LXXX,CSFP,Credit Suisse International
CDPNGB2LTOR,CDPN,Tor Fx
CDPNGB2LXXX,CDPN,Currencies Direct Ltd
CSUKGB2LXXX,CSUK,Credit Suisse (Uk) Limited
CMCIGB2LXXX,CMCI,Credit Industriel Et Commercial - London Branch
CRASGB2LXXX,CRAS,Crown Agents Bank Limited
AGRIGB2LXXX,AGRI,Credit Agricole S.A. London Branch
CRLYGB2LCLS,CRLY,Cls Control Branch
CRLYGB2LXXX,CRLY,Credit Agricole Cib
DIAGGB2LCTB,DIAG,Reverse  Billing
DIAGGB2LXXX,DIAG,Diageo Plc
IBJMGB2LXXX,IBJM,Dlibj Asset Management International Limited
DPBBGB21XXX,DPBB,Deutsche Pfandbriefbank Ag
BKTRGB2LXXX,BKTR,"Deutsche Bank Trust Company Americas, London Branch"
BKTRGB2LGFS,BKTR,Global Custody
BKTIGB2LEQT,BKTI,Equities
BKTIGB2LSWP,BKTI,Swaps
BKTIGB2LXXX,BKTI,Deutsche Bank Trust Company Americas (Intl) London Branch
BKTIGB2LEMO,BKTI,Emerging Markets Operations
MGAMGB2LUTM,MGAM,Unit Trust Managers
MGAMGB2LXXX,MGAM,Deutsche Asset Management Limited
MGAMGB2LLAP,MGAM,Life And Pensions
DBSSGB2LXXX,DBSS,Dbs Bank Ltd
DABAGB2LRTN,DABA,Chaps Return
DABAGB2LXXX,DABA,Danske Bank
DEUTGB4LPWM,DEUT,Deutsche Bank Ag
DEUTGB22CLS,DEUT,London C.L.S.
DEUTGB22COM,DEUT,Compensation And Benefits
DEUTGB22CTA,DEUT,London C.T.A.S.
DEUTGB22DCC,DEUT,London Dcc
DEUTGB22EEQ,DEUT,International Equities
DEUTGB22EMC,DEUT,Emerging Market Clearing
DEUTGB22EMK,DEUT,Emerging Market Corporate Clearing
DEUTGB22GED,DEUT,Deutsche Bank Ag
DEUTGB22GEF,DEUT,Global Equity Finance Department
DEUTGB22GFI,DEUT,Global Fixed Income
DEUTGB22PBR,DEUT,Pbr Dept
DEUTGB22STA,DEUT,Structured Transaction Group - A
DEUTGB22STD,DEUT,Structured Transaction Group - D
DEUTGB22STF,DEUT,Structured Transaction Group - F
DEUTGB22STG,DEUT,Structured Transactions Department
DEUTGB22STJ,DEUT,Structure Transaction Group - J
DEUTGB22STM,DEUT,Structured Transaction Group - M
DEUTGB22STN,DEUT,Structured Transaction Group - N
DEUTGB22STT,DEUT,Structure Transaction Group - T
MGCOGB2LEQT,MGCO,Equities Department
MGCOGB2LGEF,MGCO,Global Equity Finance Department
MGCOGB2LPBR,MGCO,Equities Prime Brokerage
MGCOGB2LSSG,MGCO,Special Situations Group
MGCOGB2LXXX,MGCO,"Db Uk Bank Limited, London"
MGCOGB2LCUS,MGCO,Custody Department
ENVOGB22XXX,ENVO,Envoy Services Limited
EIIBGB2LXXX,EIIB,European Islamic Investment Bank Plc
ECCPGB22CFM,ECCP,Clearing Fund Management
ECCPGB22GLC,ECCP,Global Clearing
ECCPGB22XXX,ECCP,European Central Counterparty Limited
ECCPGB2LACO,ECCP,European Central Counterparty Limited
ECCPGB2LCCP,ECCP,Counter Clearing Party
ECCPGB2LCFM,ECCP,Clearing Fund Management 
ECCPGB2LGCA,ECCP,Global Corporate Actions
ECCPGB2LGLC,ECCP,Global Clearing
ECCPGB2LGTC,ECCP,Global Trade Capture
ECCPGB2LPOA,ECCP,Power Of Attorney
ECCPGB2LXXX,ECCP,European Central Counterparty Limited
ECCPGB22CCP,ECCP,Central Counter Party
ERBKGB2LXXX,ERBK,Eurobank Ergasias Sa
USBKGB22XXX,USBK,Elavon Financial Services Limited
USBKGB22CCD,USBK,Corporate Trust Common Depository
EGGGGB2LXXX,EGGG,Egg Banking Plc
EFGBGB33XXX,EFGB,Efg Eurobank Ergasias S.A
EFEEGB21XXX,EFEE,Efg Eurobank Ergasias S.A
EFGBGB2LBIR,EFGB,Efg Harris Allday
EFGBGB2LXXX,EFGB,Efg Private Bank Limited
EBILGB2LXXX,EBIL,Emirates Nbd Pjsc
ARABGB2LXXX,ARAB,Europe Arab Bank Plc
GENOGB2LXXX,GENO,Dz Bank Ag Deutsche Zentral Genossenschaftsbank
DULAGB2LXXX,DULA,Duncan Lawrie Limited
FTBKGB2BXXX,FTBK,First Trust Bank
FTBKGB2BSDV,FTBK,E Channel And Payments
FCBKGB2LXXX,FCBK,First Commercial Bank
FBLNGB2LXXX,FBLN,Fairbairn Private Bank (Iom) Ltd London Office
FIDIGB22XXX,FIDI,Fil Investments International
FIDIGB21XXX,FIDI,Fil Investments International
FIDIGB22SET,FIDI,Fidelity Settlement
FCMBGB2LXXX,FCMB,Fcmb (Uk) Limited
FIRBGB2LXXX,FIRB,Fibi Bank (Uk) Plc
FEEFGB21XXX,FEEF,Fce Bank Plc
EIBIGB2LXXX,EIBI,Export-Import Bank Of India
GULFGB2LCLS,GULF,"Gulf International Bank, B.S.C."
GULFGB2LXXX,GULF,"Gulf International Bank, B.S.C."
SINTGB2LXXX,SINT,Gulf International Bank (Uk) Limited
GEEUGB2LT2T,GEEU,Target 2
GEEUGB2LTG2,GEEU,Getco Europe Ltd
GEEUGB2LTGT,GEEU,T2 Test
GEEUGB2LXXX,GEEU,Getco Europe Ltd
GEEUGB2LEQT,GEEU,London-equity Trading
GTBIGB2LXXX,GTBI,Guaranty Trust Bank (Uk) Limited
GFIGGB2LPCE,GFIG,Cash Equities
GFIGGB2LXXX,GFIG,Gfi Securities Ltd
GFIGGB2LCSC,GFIG,Christopher Street Capital Branch
GLGLGB2LXXX,GLGL,Glg Partners Lp
GLGLGB2L001,GLGL,Glg Partners Lp
GSILGB2XGCS,GSIL,Global Control Swift
GSILGB2XHUL,GSIL,Goldman Sachs International Market Making Ex-Hull Business
GSILGB2XREP,GSIL,Icma Trax Repo Matching
GSILGB2XXXX,GSIL,Goldman Sachs International
GSILGB2XCM2,GSIL,Goldman Sachs International
GHIBGB2LXXX,GHIB,Ghana International Bank Plc
GECAGB21XXX,GECA,Ge Capital Bank Limited
GEBAGB22XXX,GEBA,Fortis Bank Sa/Nv
FIRNGB2LXXX,FIRN,Firstrand Bank Limited (London Branch)
GHOUGB2LXXX,GHOU,Gatehouse Bank Plc
HTSLGB22XXX,HTSL,Hfc Bank Limited
HTSLGB2202L,HTSL,Hfc Bank Limited
BOFSGBS1UKB,BOFS,Hampshire Trust Plc
HLBAGB21XXX,HLBA,Harrods Bank Ltd
HSBLGB2LXXX,HSBL,Habibsons Bank Limited
HABBGB2LXXX,HABB,Habib-Uk Plc
